Method,Dialect,Fold,,H,N,accuracy,macro avg,weighted avg
all_features,PT_BR,fold_4,f1-score,"0,2413793103448276","0,2387543252595156","0,24006908462867013","0,2400668178021716","0,24006455097567306"
all_features,PT_BR,fold_4,support,"289,0","290,0","0,24006908462867013","579,0","579,0"
all_features,PT_BR,fold_5,precision,"0,24914675767918087","0,24475524475524477","0,2469775474956822","0,2469510012172128","0,24694720889171723"
all_features,PT_BR,fold_5,recall,"0,25259515570934254","0,2413793103448276","0,2469775474956822","0,24698723302708508","0,2469775474956822"
all_features,PT_BR,fold_5,f1-score,"0,2508591065292096","0,24305555555555555","0,2469775474956822","0,2469573310423826","0,24695059222461607"
all_features,PT_BR,fold_5,support,"289,0","290,0","0,2469775474956822","579,0","579,0"
all_features,PT_BR,fold_6,precision,"0,2558922558922559","0,24468085106382978","0,2504317789291883","0,25028655347804285","0,2502768717812998"
all_features,PT_BR,fold_6,recall,"0,2629757785467128","0,23793103448275862","0,2504317789291883","0,2504534065147357","0,2504317789291883"
all_features,PT_BR,fold_6,f1-score,"0,2593856655290102","0,24125874125874125","0,2504317789291883","0,25032220339387573","0,2503065497459739"
all_features,PT_BR,fold_6,support,"289,0","290,0","0,2504317789291883","579,0","579,0"
all_features,PT_BR,fold_7,precision,"0,21678321678321677","0,22525597269624573","0,22107081174438686","0,22101959473973126","0,22102691145468203"
all_features,PT_BR,fold_7,recall,"0,21453287197231835","0,22758620689655173","0,22107081174438686","0,22105953943443504","0,22107081174438686"
all_features,PT_BR,fold_7,f1-score,"0,21565217391304348","0,22641509433962262","0,22107081174438686","0,22103363412633303","0,2210429285308465"
all_features,PT_BR,fold_7,support,"289,0","290,0","0,22107081174438686","579,0","579,0"
all_features,PT_BR,fold_8,precision,"0,22184300341296928","0,21403508771929824","0,2179930795847751","0,21793904556613375","0,21793904556613375"
all_features,PT_BR,fold_8,recall,"0,22491349480968859","0,21107266435986158","0,2179930795847751","0,2179930795847751","0,2179930795847751"
all_features,PT_BR,fold_8,f1-score,"0,22336769759450173","0,21254355400696864","0,2179930795847751","0,2179556258007352","0,2179556258007352"
